rainfall_rate,cumulative_rainfall_24h,soil_moisture,slope_angle,vibration_frequency,pore_water_pressure,temperature,risk_score,risk_class,risk_label
33.57,111.49,70.78,35.58,1.38,41.74,11.09,37.6,1,Watch
62.51,80.39,75.86,43.38,0.85,22.82,19.02,38.1,1,Watch
64.5,183.22,80.26,35.51,0.88,60.51,18.54,59.7,1,Watch
1.86,23.94,29.77,29.22,0.21,18.8,23.06,2.9,0,Safe
3.92,2.37,46.15,33.57,0.21,6.89,19.04,1.0,0,Safe
29.47,64.94,69.18,36.44,1.05,27.53,20.37,27.9,0,Safe
1.3,20.32,41.14,29.09,0.13,14.78,22.72,2.5,0,Safe
0.99,9.82,47.28,35.2,0.57,12.56,29.18,8.1,0,Safe
1.94,20.77,27.22,27.09,0.26,17.65,28.24,1.8,0,Safe
0.25,23.04,21.71,36.88,0.44,4.44,26.52,1.7,0,Safe
0.65,24.18,44.55,25.96,0.42,10.68,19.04,1.1,0,Safe
2.28,17.23,31.26,27.65,0.25,15.18,18.38,0.0,0,Safe
52.88,177.3,82.52,41.49,1.62,48.94,18.34,64.0,2,Warning
37.14,38.07,63.57,38.57,1.06,28.68,14.15,24.3,0,Safe
10.7,36.45,68.8,27.16,0.46,48.61,21.7,18.4,0,Safe
11.32,104.87,74.58,39.73,1.16,18.1,23.39,19.1,0,Safe
45.37,99.13,65.62,38.35,0.34,26.09,13.48,30.2,1,Watch
79.31,214.21,79.7,50.97,0.82,36.85,17.98,66.6,2,Warning
74.46,119.27,89.37,35.32,1.6,55.53,16.01,64.0,2,Warning
1.42,0.58,39.46,26.28,0.49,3.11,27.03,3.4,0,Safe
1.7,0.73,34.44,34.36,0.43,5.02,22.73,2.6,0,Safe
40.87,58.4,59.3,40.43,0.44,37.44,17.21,29.5,0,Safe
12.01,10.0,30.88,39.86,0.48,10.1,17.95,3.7,0,Safe
15.21,56.88,53.83,30.82,0.54,22.3,18.92,18.2,0,Safe
2.23,3.55,30.92,22.78,0.41,11.98,21.13,4.3,0,Safe
0.22,0.02,34.23,27.49,0.32,7.24,19.22,0.9,0,Safe
5.86,4.66,26.54,28.68,0.51,8.19,22.2,0.0,0,Safe
25.65,40.48,57.11,32.32,0.94,24.01,18.84,14.6,0,Safe
2.47,72.98,64.2,41.04,0.93,34.24,14.41,25.2,0,Safe
101.71,137.41,78.76,31.91,1.96,52.03,15.41,56.3,1,Watch
0.95,16.59,35.68,34.02,0.27,19.12,25.54,2.5,0,Safe
2.08,10.98,36.82,30.69,0.17,7.98,24.88,0.0,0,Safe
2.26,4.79,40.14,40.64,0.49,11.98,24.55,1.0,0,Safe
22.0,38.92,52.46,25.35,0.38,32.31,18.15,18.1,0,Safe
24.74,111.64,63.87,31.93,0.98,28.13,19.75,24.5,0,Safe
29.85,87.43,63.11,33.41,0.85,26.68,16.84,22.2,0,Safe
0.09,19.82,42.17,18.14,0.5,10.48,27.6,3.2,0,Safe
0.27,22.37,41.88,21.22,0.17,16.65,16.92,0.0,0,Safe
123.71,212.17,85.92,54.24,2.5,53.86,14.0,97.7,3,Critical
2.47,8.3,31.28,23.06,0.59,16.35,16.6,0.0,0,Safe
53.27,61.24,53.53,24.85,1.06,27.58,16.77,28.1,0,Safe
3.66,2.15,52.86,41.53,0.27,9.87,20.74,5.5,0,Safe
30.26,188.75,87.2,43.99,1.17,46.65,12.79,54.7,1,Watch
2.99,22.27,35.84,22.64,0.55,20.78,25.5,8.3,0,Safe
57.79,213.18,82.42,34.12,1.21,50.34,10.51,56.5,1,Watch
82.34,194.02,93.99,53.55,2.17,62.62,15.26,100.0,3,Critical
0.82,23.65,45.15,22.58,0.57,2.81,18.63,5.2,0,Safe
58.59,153.77,86.87,39.46,1.89,51.71,19.53,70.5,2,Warning
0.49,18.57,25.22,23.49,0.15,9.97,18.33,4.9,0,Safe
2.71,8.27,30.32,18.38,0.52,7.33,16.74,6.0,0,Safe
62.31,311.14,90.59,40.48,2.09,80.09,17.33,90.7,3,Critical
1.69,15.1,32.77,29.85,0.45,16.76,21.75,6.5,0,Safe
0.18,20.26,32.56,22.38,0.16,14.1,17.89,2.9,0,Safe
126.1,336.92,87.06,43.1,3.2,88.85,16.16,100.0,3,Critical
56.25,125.65,78.81,31.02,1.92,42.25,17.02,48.2,1,Watch
4.02,5.09,23.48,31.22,0.43,13.11,29.44,0.0,0,Safe
35.74,139.01,76.75,43.66,1.54,56.97,16.39,56.3,1,Watch
42.92,167.65,87.48,41.59,1.25,45.68,17.58,54.9,1,Watch
53.05,201.11,98.64,36.16,2.19,82.39,13.45,74.6,2,Warning
60.58,251.56,95.69,53.95,2.29,91.86,13.82,100.0,3,Critical
0.15,12.94,33.23,32.8,0.53,10.42,24.53,0.0,0,Safe
1.22,4.35,35.05,28.51,0.28,9.41,19.3,0.0,0,Safe
60.74,190.01,74.32,37.35,1.48,42.97,13.35,57.0,1,Watch
35.21,166.69,77.78,38.58,1.7,46.05,14.14,53.9,1,Watch
17.5,72.18,72.9,34.46,1.07,14.84,20.01,12.4,0,Safe
10.4,10.68,32.32,22.85,0.25,5.55,26.65,1.9,0,Safe
12.51,30.91,61.54,37.65,0.8,32.75,20.03,21.9,0,Safe
2.83,13.85,31.69,24.6,0.39,3.65,19.47,4.3,0,Safe
42.39,75.72,71.25,49.74,0.4,30.49,16.26,35.6,1,Watch
21.92,117.28,67.7,36.17,0.43,29.78,20.95,25.1,0,Safe
47.25,123.33,81.96,32.24,1.12,47.25,19.44,46.9,1,Watch
23.56,33.73,55.82,37.09,0.89,32.88,19.88,18.1,0,Safe
12.64,142.05,78.65,34.6,1.36,55.19,13.06,44.2,1,Watch
39.57,217.96,81.62,46.08,1.12,23.86,14.0,52.0,1,Watch
123.37,229.1,91.01,51.68,4.05,59.33,10.48,100.0,3,Critical
29.41,60.83,58.47,32.4,0.32,21.95,23.86,20.9,0,Safe
0.38,8.44,44.13,26.34,0.23,8.42,22.6,0.0,0,Safe
3.18,12.11,38.93,28.21,0.34,8.13,26.49,3.4,0,Safe
3.24,9.49,41.74,36.32,0.21,10.57,24.6,1.6,0,Safe
4.42,14.07,34.22,28.87,0.2,10.07,29.21,0.0,0,Safe
84.94,356.85,90.0,39.77,2.28,71.69,13.01,83.0,3,Critical
0.48,15.55,38.53,28.12,0.23,19.54,27.25,2.4,0,Safe
2.8,18.4,32.18,36.43,0.1,1.04,28.02,6.3,0,Safe
0.4,0.49,17.71,33.54,0.22,4.62,29.24,3.4,0,Safe
0.17,12.8,44.55,34.94,0.41,0.88,26.44,2.1,0,Safe
18.68,31.93,64.04,37.2,1.08,22.76,20.29,12.7,0,Safe
0.23,6.93,48.41,18.56,0.14,11.71,23.47,0.0,0,Safe
1.18,21.72,29.23,24.29,0.26,14.76,23.61,5.7,0,Safe
72.16,262.01,88.88,45.85,2.14,58.02,10.49,86.9,3,Critical
38.54,182.84,82.99,35.57,1.86,31.12,11.63,44.5,1,Watch
92.42,158.6,78.55,37.2,0.86,56.3,18.25,58.7,1,Watch
23.8,66.65,63.04,32.31,1.09,38.87,18.38,29.4,0,Safe
61.79,351.1,88.75,46.82,3.81,79.11,12.92,97.5,3,Critical
37.89,33.73,62.53,35.7,0.93,33.17,16.61,30.1,1,Watch
2.82,23.32,45.76,20.4,0.15,10.96,26.36,5.1,0,Safe
74.52,130.85,78.69,41.42,0.85,39.03,12.35,55.7,1,Watch
15.24,60.03,65.59,38.07,0.53,22.68,20.87,15.4,0,Safe
122.17,335.17,92.03,42.82,2.67,59.84,16.6,94.2,3,Critical
0.3,13.34,50.68,25.29,0.22,12.32,17.77,1.3,0,Safe
0.83,8.81,34.35,22.2,0.6,2.61,27.53,0.0,0,Safe
17.12,51.11,68.02,31.86,1.15,25.05,20.54,22.0,0,Safe
9.46,21.03,44.41,30.35,0.44,11.47,22.92,3.9,0,Safe
2.11,15.1,21.36,39.42,0.21,15.04,19.16,11.2,0,Safe
52.57,283.34,90.1,41.83,3.5,59.92,14.75,89.3,3,Critical
54.07,38.94,75.6,31.57,0.68,22.67,19.29,18.3,0,Safe
1.32,12.37,40.82,28.23,0.26,10.57,27.12,0.0,0,Safe
56.17,212.4,98.49,46.82,4.66,57.02,14.67,93.9,3,Critical
30.96,133.45,84.55,29.07,1.58,35.37,17.24,32.8,1,Watch
10.63,57.19,67.9,32.29,0.78,33.01,22.01,17.9,0,Safe
1.27,4.05,23.59,35.72,0.17,7.51,26.54,7.7,0,Safe
1.64,1.86,34.85,42.16,0.34,13.5,21.79,4.0,0,Safe
5.18,18.54,29.91,27.71,0.15,5.91,19.82,2.6,0,Safe
119.7,305.99,91.08,47.62,4.0,61.27,18.83,100.0,3,Critical
1.13,2.51,37.63,19.21,0.19,4.67,25.15,1.7,0,Safe
1.54,11.18,36.51,26.72,0.31,16.14,22.03,0.0,0,Safe
126.08,276.43,91.14,39.55,3.28,74.43,13.53,95.9,3,Critical
0.55,19.78,31.12,18.29,0.11,9.09,25.05,1.2,0,Safe
18.76,94.21,63.52,35.28,0.38,31.1,17.29,18.2,0,Safe
0.9,7.75,27.53,26.05,0.41,7.09,23.13,0.0,0,Safe
63.07,211.1,79.87,44.53,1.95,41.96,18.44,72.4,2,Warning
129.54,376.64,87.29,55.34,3.55,53.21,14.43,100.0,3,Critical
1.49,19.57,26.59,25.07,0.53,9.69,23.36,4.9,0,Safe
68.97,309.23,94.55,42.51,2.99,83.89,12.61,96.9,3,Critical
125.09,303.76,87.29,40.72,4.52,79.96,13.31,100.0,3,Critical
46.09,56.6,74.79,39.37,0.93,32.39,16.26,39.1,1,Watch
80.21,238.72,86.19,55.88,2.86,69.43,15.12,100.0,3,Critical
0.12,24.39,38.84,11.53,0.56,7.21,24.18,2.0,0,Safe
36.39,51.99,57.57,19.16,0.67,30.24,15.08,15.5,0,Safe
45.28,76.04,61.97,27.16,1.19,36.04,18.51,23.7,0,Safe
1.49,20.19,26.62,26.96,0.52,8.39,16.36,0.0,0,Safe
0.18,4.7,30.42,27.53,0.28,9.8,29.83,0.6,0,Safe
47.49,61.46,41.35,37.49,0.52,24.77,21.25,17.0,0,Safe
27.35,94.83,64.89,33.65,0.42,22.03,17.71,26.7,0,Safe
0.09,14.31,28.49,31.05,0.37,5.55,20.9,0.0,0,Safe
21.43,31.8,65.48,31.28,0.88,31.57,24.59,18.9,0,Safe
0.59,9.89,41.66,38.05,0.25,12.69,29.09,0.0,0,Safe
0.19,20.04,31.57,35.89,0.27,10.01,20.37,3.9,0,Safe
2.95,13.34,31.56,28.06,0.22,5.81,19.15,0.0,0,Safe
9.93,1.44,42.36,22.84,0.25,9.18,21.91,2.0,0,Safe
3.68,6.57,35.85,28.35,0.5,13.77,17.54,1.3,0,Safe
0.7,24.25,40.2,37.59,0.29,8.83,28.15,0.0,0,Safe
52.68,242.32,96.32,40.51,4.1,81.9,10.24,90.7,3,Critical
0.59,6.78,49.24,28.4,0.4,10.51,18.85,0.0,0,Safe
27.77,154.38,82.12,32.26,1.05,45.75,13.63,37.5,1,Watch
0.7,3.68,40.89,33.4,0.22,12.74,21.66,0.0,0,Safe
0.17,13.27,41.96,30.48,0.43,8.65,23.02,0.0,0,Safe
72.6,299.32,94.44,45.64,4.31,86.26,20.06,100.0,3,Critical
0.08,3.57,23.32,32.31,0.37,10.56,22.24,1.3,0,Safe
50.71,193.14,83.67,42.21,1.24,47.48,17.78,62.8,2,Warning
0.62,10.75,22.1,15.04,0.51,8.4,27.36,0.0,0,Safe
91.21,268.98,86.3,42.73,3.33,59.55,15.31,83.5,3,Critical
13.12,111.09,73.97,32.58,1.06,15.9,24.3,11.6,0,Safe
5.46,17.73,37.63,22.66,0.55,14.55,20.42,0.3,0,Safe
50.52,170.29,89.78,50.87,1.06,32.09,15.24,58.8,1,Watch
5.83,19.92,44.46,35.86,0.31,16.55,28.6,0.0,0,Safe
33.25,79.08,72.61,39.42,1.1,21.81,17.37,21.7,0,Safe
21.71,105.08,75.61,36.34,1.08,16.95,20.93,23.5,0,Safe
17.18,64.32,70.59,33.29,1.17,31.57,22.41,27.3,0,Safe
16.85,101.5,56.38,44.95,0.68,19.32,23.05,26.1,0,Safe
55.53,134.49,74.47,39.2,1.29,24.01,17.88,39.3,1,Watch
0.89,43.26,55.22,26.95,0.58,17.93,22.81,7.2,0,Safe
28.49,201.69,88.24,41.07,1.2,46.79,16.21,54.0,1,Watch
3.64,20.07,38.94,30.17,0.42,10.73,18.54,4.2,0,Safe
2.19,16.08,55.58,27.62,0.52,6.19,25.86,1.0,0,Safe
56.26,336.25,88.73,47.28,3.61,65.83,11.96,95.7,3,Critical
63.84,325.68,94.86,54.41,2.04,76.24,15.13,100.0,3,Critical
0.72,24.33,36.44,20.38,0.46,11.41,27.92,0.0,0,Safe
2.63,4.47,43.06,20.7,0.21,11.91,26.43,2.9,0,Safe
119.64,317.3,88.44,48.04,4.6,74.89,18.25,100.0,3,Critical
1.25,23.59,36.87,27.95,0.49,6.08,13.52,2.2,0,Safe
3.69,4.91,44.73,21.66,0.23,14.94,34.36,1.9,0,Safe
36.92,173.23,74.88,30.52,0.92,36.96,12.63,35.9,1,Watch
23.43,45.55,53.0,31.98,0.34,26.44,13.96,15.4,0,Safe
11.07,80.24,66.21,38.66,0.52,30.5,19.96,25.5,0,Safe
27.49,51.38,54.98,30.26,1.11,35.47,14.36,28.1,0,Safe
115.27,248.06,97.56,54.02,4.35,63.1,12.6,100.0,3,Critical
1.43,0.32,49.61,35.18,0.48,6.74,19.31,1.6,0,Safe
45.99,61.63,57.44,38.35,0.31,34.42,15.76,30.4,1,Watch
1.5,2.15,45.39,21.18,0.47,12.42,29.0,0.0,0,Safe
1.82,22.87,49.5,30.7,0.1,7.33,20.36,8.8,0,Safe
3.26,21.45,27.87,26.15,0.59,8.94,22.59,6.5,0,Safe
50.74,199.71,83.6,39.91,0.8,54.53,12.93,60.2,2,Warning
81.9,210.79,95.0,39.21,2.2,91.33,15.48,89.9,3,Critical
0.63,6.26,29.51,31.45,0.18,14.26,24.67,3.5,0,Safe
14.54,65.67,59.17,24.66,1.19,15.99,25.42,11.2,0,Safe
28.66,88.06,42.74,33.1,0.74,24.71,18.83,18.3,0,Safe
3.02,3.41,31.8,14.27,0.41,5.63,33.67,3.0,0,Safe
85.52,326.13,92.08,40.25,2.69,69.24,11.9,96.8,3,Critical
50.86,128.88,74.67,33.33,0.93,54.46,13.17,48.9,1,Watch
13.5,80.57,58.62,26.04,1.19,24.76,19.44,16.6,0,Safe
5.3,16.77,41.9,39.79,0.23,9.52,20.84,2.3,0,Safe
21.92,83.01,54.7,26.0,0.89,38.41,17.11,21.0,0,Safe
22.6,46.71,59.48,25.29,0.35,27.97,22.78,17.5,0,Safe
18.2,110.2,46.09,37.23,0.64,25.39,18.07,21.1,0,Safe
